,ci_test_results,z_test_results,z_test_p_values,mean_diff
TMCC1,False,False,0.179,-3.452
RANBP3,True,True,0.0,-6.474
GABRG3,False,False,0.705,0.763
ARRDC5,True,True,0.016,-3.334
LRP3,False,False,0.092,2.725
TIMM23,False,False,0.631,-1.075
TBPL1,False,False,0.051,-3.377
BIRC8,False,False,0.385,-1.324
TTC28,False,False,0.834,0.16
C19orf66,True,True,0.0,-8.661
ZNF583,False,False,0.942,-0.093
NXPH4,False,False,0.66,0.952
MAK,False,False,0.405,-0.732
MXD3,True,True,0.0,-3.658
UCP2,False,False,0.222,-30.523
HELB,False,False,0.869,0.152
CCDC25,False,False,0.143,1.1
DHPS,False,False,0.21,-2.364
PAFAH1B2,False,True,0.036,2.888
SIGLEC7,True,True,0.0,-24.736
CAMLG,False,False,0.487,1.571
KCNQ2,False,True,0.05,3.61
COPS6,False,False,0.068,-11.079
CHCHD3,False,False,0.781,-0.716
GSG2,False,False,0.122,-1.375
CLEC4C,False,False,0.279,-6.473
FAM216A,False,False,0.228,0.879
NONO,False,False,0.59,2.674
OTOG,False,False,0.574,-0.607
SLC25A47,False,False,0.755,-0.058
CHGA,False,False,0.232,1.734
CHM,False,False,0.681,0.606
GABRB2,False,False,0.268,-1.36
SRGN,True,True,0.0,-301.009
EDDM3B,False,False,0.061,3.024
TRIP11,False,False,0.475,-1.272
RNASET2,False,True,0.044,19.114
PPP1R18,True,True,0.0,-52.287
S1PR1,False,False,0.242,-3.846
TANC1,False,False,0.164,-1.119
TAS2R50,False,False,0.878,-0.184
CCNF,False,False,0.583,0.571
KIAA1147,False,False,0.193,1.885
CYBRD1,False,False,0.911,-0.319
VPS25,False,True,0.035,-4.562
RANBP17,False,False,0.952,-0.077
PLEKHD1,False,False,0.373,-1.178
RAPGEF3,False,False,0.076,-1.65
DLG5,False,True,0.025,-3.853
OR8U8,False,False,0.756,-0.109
CCDC85C,False,False,0.136,2.023
ABR,True,True,0.0,-98.374
HNRNPCL3,False,False,0.888,0.282
NKAP,False,False,0.074,-1.658
TCP11L2,True,True,0.001,9.473
LHX9,False,False,0.644,0.323
NEUROD4,False,False,0.998,-0.003
ERBB2,False,False,0.102,-14.559
MMP3,False,False,0.158,-19.35
ENO4,False,False,0.298,0.713
ABCC1,False,False,0.062,2.952
IGSF10,False,False,0.675,0.881
CACUL1,False,False,0.589,-0.254
CYB5D1,False,False,0.254,0.94
ZNF616,False,False,0.142,-2.054
ELL,False,True,0.046,-2.396
SDHAF2,True,True,0.0,-8.833
SLC8B1,True,True,0.001,-1.854
FAU,True,True,0.0,132.21
PITHD1,True,True,0.0,-6.185
CD200R1,False,False,0.93,-0.071
LRRC32,False,False,0.665,0.556
COPS5,True,True,0.001,-5.435
IDE,True,True,0.001,4.179
MRPL38,False,False,0.393,-1.249
TDRD1,False,True,0.039,3.215
IAH1,True,True,0.0,-4.214
HRC,False,False,0.538,-0.42
C12orf29,False,True,0.05,0.501
SLITRK6,False,False,0.163,0.924
CNFN,True,True,0.007,4.533
NFATC2,True,True,0.0,-18.884
EIF3L,True,True,0.001,9.308
CBFA2T3,True,True,0.001,8.862
CXorf58,False,False,0.238,-0.894
CTRC,True,True,0.0,-1.447
LAGE3,False,False,0.932,-0.149
AMELY,False,False,0.34,1.293
HTN3,False,False,0.139,-1.379
NPTX1,False,False,0.378,1.256
FAM179B,False,False,0.202,-1.263
OR7D4,False,False,0.188,1.825
RSPH3,False,False,0.062,1.819
ELK3,False,False,0.393,1.954
NUP62,False,True,0.039,5.173
KIF4A,False,False,0.075,2.856
RNF41,False,True,0.012,3.915
AIFM1,False,False,0.283,1.661
LPCAT3,False,False,0.458,-1.013
NUDT22,True,True,0.002,-6.378
PINX1,False,False,0.269,-1.992
GKN1,False,False,0.572,0.568
KMT2A,False,False,0.873,0.192
CLTC,False,False,0.059,9.145
CLGN,False,False,0.475,1.105
PPAPDC1A,False,False,0.586,1.053
RBMXL3,False,False,0.238,0.889
ARMC7,True,True,0.0,-5.404
PLOD3,False,False,0.361,-4.115
LGI4,False,False,0.573,-0.424
PAQR6,False,True,0.017,-0.919
SLC5A5,False,False,0.207,0.496
MAGED2,False,True,0.041,-6.687
PRDM1,True,True,0.0,-15.966
DHX57,False,False,0.673,0.572
OR51B5,False,False,0.786,-0.288
KIR3DP1,False,False,0.187,2.372
BPNT1,False,False,0.45,1.687
CTBP2,True,True,0.0,-27.587
RBM24,False,False,0.332,1.286
SLC2A3,False,True,0.017,-21.718
UBE2A,False,False,0.5,-1.816
MIPOL1,False,False,0.478,0.212
EXOC3L4,False,False,0.334,1.643
IFNA10,True,True,0.0,154.137
PSMA6,False,True,0.006,-22.785
PTPN2,True,True,0.0,-11.227
SWI5,False,True,0.012,-5.168
TMEM125,False,False,0.59,0.473
POLR2L,True,True,0.003,-9.818
CCDC8,False,False,0.363,0.93
TBC1D3I,False,False,0.099,1.9
SLC24A3,False,False,0.286,-0.826
CASC10,False,False,0.87,0.208
FATE1,False,False,0.442,-0.423
SERAC1,False,False,0.057,-3.806
JAKMIP1,True,True,0.0,-6.563
SLC25A17,False,True,0.045,0.91
PRSS36,False,False,0.48,-0.168
ZSCAN10,False,False,0.231,0.946
RIPK4,False,False,0.929,0.099
HSD3B1,False,False,0.493,0.879
TECTB,False,False,0.495,-0.552
NFKBIA,True,True,0.0,-198.37
ACTR3C,False,False,0.197,1.88
ODF3L1,False,False,0.296,1.951
CES3,False,False,0.425,1.31
